Model,Release date,Max resolution,Weight (inc. batteries),Dimensions,Price
STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE
Agfa ePhoto 1280,1997,1024,420,95,179
Agfa ePhoto 1680,1998,1280,420,158,179
Agfa ePhoto CL18,2000,640,0,0,179
Agfa ePhoto CL30,1999,1152,0,0,269
Agfa ePhoto CL30 Clik!,1999,1152,300,128,1299
Agfa ePhoto CL45,2001,1600,270,119,179
Agfa ePhoto CL50,1999,1280,0,0,179
Canon PowerShot 350,1997,640,320,93,149
Canon PowerShot 600,1996,832,460,160,139
Canon PowerShot A10,2001,1280,375,110,139
Canon PowerShot A100,2002,1280,225,110,139
Canon PowerShot A20,2001,1600,375,110,139
Canon PowerShot A200,2002,1600,225,110,139
Canon PowerShot A30,2002,1280,350,110,139
Canon PowerShot A300,2003,2048,225,111,139
Canon PowerShot A310,2004,2048,205,110,139
Canon PowerShot A40,2002,1600,350,110,139
Canon PowerShot A400,2004,2048,255,107,139
Canon PowerShot A410,2005,2048,195,103,139
Canon PowerShot A420,2006,2272,200,103,139
Canon PowerShot A430,2006,2272,210,103,139
Canon PowerShot A450,2007,2592,215,106,139
Canon PowerShot A460,2007,2592,215,106,139
Canon PowerShot A5,1998,1024,240,105,149
Canon PowerShot A50,1999,1280,290,103,149
Canon PowerShot A510,2005,2048,230,91,139
Canon PowerShot A520,2005,2272,230,91,149
Canon PowerShot A530,2006,2592,220,90,149
Canon PowerShot A540,2006,2816,230,90,149
Canon PowerShot A550,2007,3072,210,91,149
Canon PowerShot A560,2007,3072,205,91,149
Canon PowerShot A570 IS,2007,3072,215,90,149
Canon PowerShot A5 Zoom,1999,1024,290,103,149
Canon PowerShot A60,2003,1600,315,101,139
Canon PowerShot A610,2005,2592,285,105,139
Canon PowerShot A620,2005,3072,285,105,139
Canon PowerShot A630,2006,3264,315,109,139
Canon PowerShot A640,2006,3648,315,109,139
Canon PowerShot A650 IS,2007,4000,300,97,399
Canon PowerShot A70,2003,2048,315,101,139
Canon PowerShot A700,2006,2816,250,94,139
Canon PowerShot A710 IS,2006,3072,210,98,139
Canon PowerShot A720 IS,2007,3264,250,97,399
Canon PowerShot A75,2004,2048,315,101,139
Canon PowerShot A80,2003,2272,350,103,139
Canon PowerShot A85,2004,2272,300,101,139
Canon PowerShot A95,2004,2592,335,101,139
Canon EOS 10D,2003,3072,875,150,1299
Canon EOS-1D,2001,2464,1585,156,4499
Canon EOS-1D Mark II,2004,3504,1565,156,4499
Canon EOS-1D Mark III,2007,3888,1335,156,4499
Canon EOS-1D Mark II N,2005,3504,1565,156,4499
